X, Y, Z, Displacement
0.0, 0.0, 0, 0.0
0.25, 0.0, 0, 76.78963240318741
0.5, 0.0, 0, 93.43262718672315
0.75, 0.0, 0, 97.90202429403747
1.0, 0.0, 0, 100.03990977173103
0.0, 0.25, 0, 0.0
0.25, 0.25, 0, 31.006892969392815
0.5, 0.25, 0, 47.28109513989993
0.75, 0.25, 0, 49.65427113354448
1.0, 0.25, 0, 51.08654043647683
0.0, 0.5, 0, 0.0
0.25, 0.5, 0, 5.514553985888981e-14
0.5, 0.5, 0, 7.96346548541317e-14
0.75, 0.5, 0, 1.372052221121848e-13
1.0, 0.5, 0, 3.6812195035149495e-14
0.0, 0.75, 0, 0.0
0.25, 0.75, 0, -31.006892969392744
0.5, 0.75, 0, -47.28109513989976
0.75, 0.75, 0, -49.6542711335443
1.0, 0.75, 0, -51.08654043647668
0.0, 1.0, 0, 0.0
0.25, 1.0, 0, -76.78963240318734
0.5, 1.0, 0, -93.432627186723
0.75, 1.0, 0, -97.9020242940373
1.0, 1.0, 0, -100.03990977173085
